File_name;Timepoint;Sample date
221228-16_S11;10;221228
221228-17_S12;10;221228
221228-22_S13;10;221228
221228-32_S6;1;221228
221228-37_S1;0;221228
221228-46_S2;0;221228
221228-50_S3;0;221228
221228-53_S4;0;221228
221228-57_S7;1;221228
221228-59_S8;1;221228
221228-67_S14;10;221228
221228-68_S9;1;221228
221228-78_S10;1;221228
221228-79_S15;10;221228
221228-80_S5;0;221228
230119-16_S11;10;230119
230119-17_S12;10;230119
230119-22_S13;10;230119
230119-32_S6;1;230119
230119-37_S1;0;230119
230119-46_S2;0;230119
230119-50_S3;0;230119
230119-53_S4;0;230119
230119-57_S7;1;230119
230119-59_S8;1;230119
230119-67_S14;10;230119
230119-68_S9;1;230119
230119-78_S10;1;230119
230119-79_S15;10;230119
230119-80_S5;0;230119
18_S60;4;221111
19_S51;2;221111
27_S52;2;221111
28_S61;4;221111
2_S50;2;221111
30_S62;4;221111
33_S55;3;221111
35_S56;3;221111
36_S57;3;221111
38_S63;4;221111
45_S53;2;221111
47_S58;3;221111
49_S59;3;221111
54_S64;4;221111
66_S54;2;221111
18_S73;4;221221
19_S64;2;221221
27_S65;2;221221
28_S74;4;221221
2_S63;2;221221
30_S75;4;221221
33_S68;3;221221
35_S69;3;221221
36_S70;3;221221
38_S76;4;221221
45_S66;2;221221
47_S71;3;221221
49_S72;3;221221
54_S77;4;221221
66_S67;2;221221
14_S102;10;220826
1_S98;2;220826
21_S103;1;220826
3_S99;0;220826
6_S100;3;220826
7_S101;4;220826
